Retention Time (min),Total Absorbance Chromatogram (mAU)
1.4945833333333334,6574.042000000005
1.495,6571.722499999995
1.4954166666666666,6573.3754999999965
1.4958333333333333,6577.373500000001
1.49625,6582.077499999998
1.4966666666666666,6595.160500000002
1.4970833333333333,6608.026999999997
1.4975,6621.962499999998
1.4979166666666666,6633.793000000001
1.4983333333333333,6639.414999999998
1.49875,6642.027500000001
1.4991666666666668,6636.504000000001
1.4995833333333333,6631.425499999999
1.5,6627.800500000001
1.5004166666666667,6623.204
1.5008333333333332,6622.027999999996
1.50125,6622.6680000000015
1.5016666666666667,6622.235500000002
1.5020833333333334,6625.389999999997
1.5025,6630.6585000000005
1.5029166666666667,6635.145499999998
1.5033333333333334,6638.538999999998
1.50375,6640.93
1.5041666666666667,6644.361
1.5045833333333334,6650.0515000000005
1.505,6655.571999999998
1.5054166666666666,6660.963500000003
1.5058333333333334,6667.361499999998
1.50625,6672.9395
1.5066666666666666,6681.132499999997
1.5070833333333333,6685.509500000002
1.5075,6687.594000000004
1.5079166666666666,6688.529500000004
1.5083333333333333,6687.489000000003
1.50875,6688.057500000001
1.5091666666666668,6687.934500000001
1.5095833333333333,6685.5165
1.51,6680.849000000003
1.5104166666666667,6678.582999999999
1.5108333333333333,6679.138500000005
1.51125,6684.178000000001
1.5116666666666667,6690.83
1.5120833333333332,6696.429
1.5125,6704.1165
1.5129166666666667,6710.584000000001
1.5133333333333334,6715.655500000002
1.51375,6718.805999999996
1.5141666666666667,6717.138
1.5145833333333334,6717.088500000002
1.515,6719.664499999997
1.5154166666666666,6721.471500000003
1.5158333333333334,6722.873000000003
1.51625,6722.988499999996
1.5166666666666666,6723.007500000002
1.5170833333333333,6725.844
1.5175,6734.091000000001
1.5179166666666666,6742.364000000004
1.5183333333333333,6748.837500000001
1.51875,6755.509500000002
1.5191666666666668,6763.385
1.5195833333333333,6769.711000000001
1.52,6772.9439999999995
1.5204166666666667,6776.285000000001
1.5208333333333333,6779.868000000006
1.52125,6781.6215
1.5216666666666667,6779.739000000001
1.5220833333333332,6774.9125
1.5225,6764.533
1.5229166666666667,6756.190499999996
1.5233333333333334,6752.049000000001
1.52375,6751.9079999999985
1.5241666666666667,6756.983499999998
1.5245833333333334,6762.564999999998
1.525,6772.023500000002
1.5254166666666666,6782.8085
1.5258333333333334,6790.093999999996
1.52625,6794.295000000001
1.5266666666666666,6795.7085
1.5270833333333333,6793.8435
1.5275,6791.572
1.5279166666666666,6789.614500000001
1.5283333333333333,6790.524499999999
1.52875,6793.2715000000035
1.5291666666666666,6796.769999999997
1.5295833333333333,6804.985000000001
1.53,6810.970500000006
1.5304166666666668,6814.188499999998
1.5308333333333333,6816.503500000002
1.53125,6817.478000000001
1.5316666666666667,6818.239500000004
1.5320833333333332,6820.751000000002
1.5325,6825.105499999995
1.5329166666666667,6829.238999999999
