Retention Time (min),Total Absorbance Chromatogram (mAU)
6.149583333333333,2279.038999999999
6.15,2265.757500000001
6.150416666666667,2251.8054999999995
6.150833333333333,2237.2674999999995
6.15125,2225.933
6.151666666666666,2217.051499999999
6.152083333333334,2209.6385000000023
6.1525,2203.448499999999
6.152916666666667,2195.9215
6.153333333333333,2189.8304999999987
6.15375,2187.1700000000005
6.154166666666667,2185.558500000001
6.154583333333333,2186.7360000000003
6.155,2189.85
6.1554166666666665,2194.896499999999
6.155833333333334,2200.8549999999996
6.15625,2203.2544999999996
6.156666666666666,2202.39
6.1570833333333335,2195.276000000001
6.1575,2184.4299999999994
6.157916666666667,2172.653999999999
6.158333333333333,2162.271500000001
6.15875,2152.7195000000015
6.159166666666667,2147.8710000000015
6.159583333333333,2148.427
6.16,2147.081500000001
6.160416666666666,2146.8465000000006
6.160833333333334,2143.7980000000025
6.16125,2140.8940000000002
6.161666666666667,2139.3739999999993
6.162083333333333,2137.9529999999972
6.1625,2139.770000000001
6.162916666666667,2141.2505000000015
6.163333333333333,2144.7305000000006
6.16375,2148.647499999999
6.164166666666667,2149.8759999999975
6.164583333333334,2149.135999999999
6.165,2145.1440000000007
6.165416666666666,2139.5090000000005
6.1658333333333335,2133.586999999999
6.16625,2128.784500000001
6.166666666666667,2124.2610000000036
6.167083333333333,2119.8505
6.1675,2115.266500000002
6.167916666666667,2109.992999999998
6.168333333333333,2103.0695000000005
6.16875,2093.8450000000003
6.1691666666666665,2085.205
6.169583333333334,2077.2420000000006
6.17,2073.7395
6.170416666666667,2072.5084999999995
6.170833333333333,2072.158500000001
6.17125,2072.321999999999
6.171666666666667,2070.6865
6.172083333333333,2069.7935
6.1725,2066.879
6.172916666666667,2063.365499999996
6.173333333333333,2059.5995
6.17375,2055.4040000000005
6.174166666666666,2053.1490000000003
6.1745833333333335,2050.054
6.175,2045.6565000000012
6.175416666666667,2041.358
6.175833333333333,2036.9275000000002
6.17625,2033.7469999999996
6.176666666666667,2032.6705000000006
6.177083333333333,2032.3424999999993
6.1775,2033.7279999999994
6.1779166666666665,2035.7344999999978
6.178333333333334,2037.0654999999997
6.17875,2037.4044999999983
6.179166666666666,2035.269
6.179583333333333,2030.9770000000005
6.18,2026.3869999999988
6.180416666666667,2021.2505000000028
6.180833333333333,2015.3510000000022
6.18125,2010.3570000000007
6.181666666666667,2005.6150000000002
6.182083333333333,2005.1015000000007
6.1825,2006.8869999999974
6.182916666666666,2009.0154999999984
6.183333333333334,2013.7700000000002
6.18375,2017.2044999999998
6.184166666666667,2021.115499999999
6.184583333333333,2025.2474999999995
6.185,2025.5430000000015
6.185416666666667,2023.3379999999993
6.185833333333333,2017.9239999999986
6.18625,2009.6779999999965
6.1866666666666665,1999.700999999999
6.187083333333334,1988.3359999999986
6.1875,1979.6764999999996
6.187916666666666,1974.684000000001
6.1883333333333335,1971.8140000000014
6.18875,1971.5985
6.189166666666667,1972.1944999999985
6.189583333333333,1972.3999999999994
6.19,1974.2059999999994
6.190416666666667,1974.4385000000007
6.190833333333333,1972.5019999999984
6.19125,1971.3400000000001
6.191666666666666,1969.9989999999991
6.192083333333334,1969.242499999998
6.1925,1971.1285000000014
6.192916666666667,1972.4920000000002
6.193333333333333,1974.1819999999987
6.19375,1976.7305000000008
6.194166666666667,1978.3004999999985
6.194583333333333,1978.9680000000005
6.195,1976.7709999999993
6.195416666666667,1975.1430000000005
6.195833333333334,1973.0214999999994
6.19625,1969.856000000001
6.196666666666666,1969.459499999999
6.1970833333333335,1970.3514999999989
6.1975,1971.4249999999977
6.197916666666667,1972.9589999999998
6.198333333333333,1974.0439999999983
6.19875,1972.4900000000005
